A,B,G,H,I,X,Y,Z,E
L2,L2,L1,L3,L1,L1,L1,L1,L3
L1,L1,L2,L3,L2,L1,L2,L2,L2
L2,L2,L2,L2,L3,L2,L1,L2,L3
L3,L3,L2,L3,L2,L2,L2,L1,L3
L1,L3,L2,L2,L3,L2,L1,L2,L3
L3,L2,L3,L1,L3,L2,L1,L1,L2
L3,L1,L3,L1,L1,L2,L2,L2,L2
L2,L1,L3,L2,L2,L2,L1,L2,L3
L1,L1,L2,L2,L3,L1,L1,L1,L3
L2,L3,L2,L2,L3,L1,L2,L2,L1
L3,L3,L2,L1,L2,L2,L2,L2,L3
L3,L1,L3,L3,L1,L2,L2,L2,L3
L1,L3,L2,L1,L2,L2,L1,L2,L1
L3,L2,L1,L1,L2,L2,L1,L1,L3
L3,L2,L1,L1,L2,L2,L2,L2,L3
L3,L2,L1,L2,L1,L2,L1,L2,L2
L1,L1,L3,L1,L1,L1,L2,L1,L2
L1,L2,L2,L2,L2,L1,L2,L1,L3
L1,L2,L3,L1,L1,L2,L1,L1,L1
L1,L2,L2,L2,L3,L2,L1,L2,L1
L3,L3,L2,L3,L1,L2,L2,L2,L3
L1,L2,L2,L3,L1,L1,L2,L1,L1
L1,L1,L2,L1,L2,L2,L2,L1,L1
L3,L2,L2,L1,L3,L1,L1,L1,L3
L1,L1,L2,L2,L3,L2,L1,L1,L2
L1,L3,L3,L3,L1,L1,L1,L2,L3
L3,L3,L2,L1,L3,L2,L2,L1,L3
L1,L2,L2,L1,L1,L1,L2,L1,L1
L1,L1,L2,L3,L1,L1,L1,L1,L2
L1,L2,L3,L1,L1,L2,L1,L2,L2
L3,L1,L1,L3,L3,L2,L1,L2,L2
L1,L2,L2,L2,L2,L1,L1,L2,L2
L3,L1,L3,L1,L1,L2,L1,L1,L1
L1,L1,L2,L2,L1,L2,L2,L1,L3
L3,L3,L1,L2,L3,L1,L2,L1,L2
L2,L2,L1,L2,L3,L1,L2,L1,L2
L2,L2,L3,L3,L2,L2,L2,L1,L1
L3,L1,L2,L2,L3,L1,L2,L1,L2
L1,L1,L2,L1,L2,L1,L2,L2,L1
L2,L3,L1,L3,L1,L1,L1,L2,L2
L1,L2,L2,L1,L1,L2,L1,L2,L1
L2,L3,L2,L2,L3,L2,L2,L2,L2
L2,L2,L3,L1,L3,L2,L2,L1,L2
L1,L1,L3,L1,L3,L2,L2,L2,L1
L2,L3,L3,L2,L3,L2,L2,L1,L3
